"행사명",장소,행사내용,행사시작일자,행사종료일자,행사시간,요금정보,주관기관,주최기관,연락처,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,경도(WGS84좌표),위도(WGS84좌표),데이터기준일자
"제주 CBS 소년소녀합창단 기획연주회 - 환경창작퍼포먼스콘서트 나 그리고 우리",학생문화원 대극장,음악,2016-12-25,2016-12-25,-,유료,제주문화예술재단,제주문화예술재단,,,,,,,,http://jj.local.cbs.co.kr/,,,제주특별자치도 제주시 연삼로 489,,,,2016-12-01
"(크라우드펀딩)어른을 위한 동화 '파란별 이야기'",서강대 메리홀 소극장,연극,2016-12-26,2016-12-31,-,유료,한국문화예술위원회,한국문화예술위원회,,,,,,,,http://musicaproibita.wixsite.com/soonperformingarts/blank-2,,,서울특별시 마포구 백범로 35,,,,2016-12-01
"클래식과 퓨전의 만남(함께 노래하는 음악회)",인제하늘내린센타 다목적홀,음악,2016-12-26,2016-12-26,1930-2040,무료,강원문화재단,(주)본뮤직,,,240,,,,,http://,,Y,강원도 인제군 인제읍 비봉로44번길 100,,,,2016-12-01
2016 윤금재댄스컴퍼니의 'SIGN',포항시 중앙아트홀,무용,2016-12-26,2016-12-26,1900-2030,무료,경상북도,윤금재댄스컴퍼니,,,250,,,,,http://,,Y,경상북도 포항시 북구 서동로 83,,,,2016-12-01
"악(樂)ㆍ가(歌)ㆍ무(舞)ㆍ서(書)ㆍ화(畵) 콘서트",의령군민문화회관,다원예술,2016-12-27,2016-12-28,1900-2020,무료,한국문화예술회관연합회/갬블러크루/의령군,문화체육관광부/ 문화융성위원회,,무대위사람들,354,0,7,,,http://cafe.daum.net/gamblerz,,Y,경상남도 의령군 의령읍 충익로 63,,,,2016-12-01
"'허공에 의지하여' - 식민지의 지식인 빙허 현진건",우전소극장,연극,2016-12-27,2016-12-31,1900-2020,유료,대구문화재단,극단처용,,,90,,10,"장애자 및 국가유공자 동반1인포함 50프로, 할인단체 10인이상 30프로 할인",,http://cafe.daum.net/cheyong,,N,대구광역시 남구 현충로 256,,,,2016-12-01
"“미래 국악인을 위한 전통음악회”, “민속악 in 한옥스테이”","해남서정초등학교, 강진문익환학교, 강진 달빛마을 한옥촌",다원예술,2016-12-01,2016-12-31,1100-1200,무료,전라남도문화관광재단,사단법인 우리전통음악연구원,,"한국문화예술위원회, 전라남도문화관광재단",100,무료,,,,http://cafe.naver.com/woorigugak,,Y,전라남도 해남군 송지면 달마로 524,,,,2016-12-01
2016 창작산실 연극 <신인류의 백분토론>,아르코예술극장 소극장,연극,2016-12-01,2017-03-26,-,유료,한국문화예술위원회,한국문화예술위원회,,,110,,,,,,,,서울특별시 종로구 대학로8길 7,,,,2016-12-01
"“Korea Fantasy 천년의 미소Ⅱ”",한국소리문화의전당 연지홀,무용,2016-12-29,2016-12-29,1229-1229,무료,전라북도문화관광재단,(사)금파춤 보존회 금파무용단,,,666,,,,,http://,,Y,전라북도 전주시 덕진구 소리로 31,,,,2016-12-01
"롯시니 오페라 모세",부산시민회관 대극장,음악,2016-12-29,2016-12-29,1600-2200,유료,온누리오페라단 (주)문화공감,(사)한국CBMC부산총연합회,,부산문화재단,3000,R석 5만 S석3만 A석2만 B석1만,7,,,http://onnuriopera.com,,Y,부산광역시 동구 자성로133번길 16,,,,2016-12-01
"음악극 12월의 살롱",우진문화공간,연극,2016-12-29,2016-12-31,1930-2100,유료,전라북도문화관광재단,극단 두루,,극단 두루 공연문화놀이터 동동,200,2만원,12,연인 30프로 할인단체 50프로 할인,,http://,,Y,전라북도 전주시 덕진구 전주천동로 376,,,,2016-12-01
"연극 <민들레 바람되어>",서원대로 331 치악예술관,연극,2016-12-24,2016-12-24,1500-2000,유료,한국문화예술회관연합회,"한국문화예술위원회, (재)원주문화재단",,"기획재정부 복권위원회, 문화체육관광부",,,,"조기예매 - 30프로 할인, 연말 온가족할인 - 30프로 할인, 보고 또 보고 할인 - 30프로 할인, 예술인할인 - 50프로 복지할인 - 50프로 단체할인 - 30프로",,http://www.wcf.or.kr,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16013514,Y,강원도 원주시 서원대로 331,,,,2016-12-01
For the Pulblic 프로젝트 '공양미삼백석',빛고을시민문화관,전통예술,2016-12-29,2016-12-29,1930-2030,유료,국악그루 늘솜,"한국문화예술위원회, 광주광역시, 광주문화재단",,,715,20000원,,,,,,Y,광주광역시 광주 남구 천변좌로338번길 7,,,,2016-12-01
"꽃보다춤꾼 시즌2-“학비유무(學舞有舞)” 선비들이 춤으로 견주다",국립국악원 예악당,전통예술,2016-12-29,2016-12-29,1930-2100,유료,서울문화재단,쟁이다인,,,700,,,,,http://,,,서울특별시 서울 서초구 남부순환로 2364,,,,2016-12-01
"그날..(유관순열사)",천안예술의전당,다원예술,2016-12-27,2016-12-28,1930-1840,유료,충남문화재단,투맨아트컴퍼니,,충청남도,400,"S석-5,000, R석-10,000",,,,http://www.cnac.or.kr,http://www.cnac.or.kr,Y,충청남도 천안시 동나구 성남면,,,,2016-12-01
"이야기가 있는 歌曲의 四季",TLI아트센터(경기 성남시),다원예술,2016-12-28,2016-12-28,2000-2120,무료,한국문화예술회관연합회,"문화융성위원회, 문화체육관광부",,,,무료,,,,,,,경기도 성남시 중원구 양현로405번길 12,,,,2016-12-01
"시를 그리는 오케스트라",은평문화예술회관,음악,2016-12-28,2016-12-28,1930-2100,무료,한국문화예술회관연합회,"문화융성위원회, 문화체육관광부",,,701,전석 무료,,,,www.seoulorchestra.co.kr,,Y,서울특별시 은평구 녹번로 16,,,,2016-12-01
"2016 안녕, 서귀포- 어린왕자",서귀포서 건축카페 유토피아,다원예술,2016-12-28,2016-12-31,1400-1500,유료,제주문화예술재단,프로젝트GR,,,,,,,*12/28 과 12/31은 공연없음 (전시),http://www.projectgr.com,,,제주특별자치도 서귀포시 태평로 409-10,,,,2016-12-01
2순위_웅산의 Fun Fun Fun Jazz,영화의전당 하늘연극장,다원예술,2016-12-30,2016-12-30,2000-2200,유료,한국문화예술회관연합회,(재)영화의전당,,,841,"60,000~30,000",7,"단체 할인_20인 이상 10프로, 30인 이상 20프로 할인, 기획공연 연계할인_영화의전당 기획공연 티켓 소지자 20프로 할인 (불효자는 웁니다, 호두까기 인형 등, 발권시 티켓 제시 필수)",,http://www.dureraum.org/bcc/ccontents/view.do?rbsIdx=39&contentsCode=20160929003,http://www.dureraum.org/bcc/ccontents/view.do?rbsIdx=39&contentsCode=20160929003,Y,부산광역시 해운대구 수영강변대로 120,,,,2016-12-01
"엄마를 위한 뮤지컬 콘서트2 ‘카르페디엠’",김해문화의전당 누리홀,연극,2016-12-30,2016-12-30,1730-1900,무료,더문아트컴퍼니,경남문화예술진흥원,,,360,,2,,,http://,,Y,경상남도 경남 김해시 김해대로 2060,,,,2016-12-01
"연극 [선녀 이야기] 공연작품 제작 (권오춘,장제혁/공동연출)",전주대학교 예술관 JJ아트홀,연극,2016-12-30,2016-12-31,1900-2100,무료,전라북도문화관광재단,황토레퍼토리컴퍼니,,사)한국연극협회 전북지회,300,0,15-,없음.,정시 공연.,http://,,Y,전라북도 전주시 완산구 천잠로 303,,,,2016-12-01
"박상희 피아노 독주회",대전예술가의집 누리홀,음악,2016-12-30,2016-12-30,1930-2130,유료,대전문화재단,박상희,,,,,,,,http://,,,대전광역시 대전 중구 중앙로 32,,,,2016-12-01
"산골음악회",논산문화예술회관,전통예술,2016-12-31,2016-12-31,1800-1930,무료,논산교육풍물 두드림,논산교육풍물 두드림,,충남문화재단,560,무료,,,,,,N,충청남도 논산시 시민로 270,,,,2016-12-01
"제7회 울산 심포닉밴드 정기연주회",울산 문화예술회관 소공연장,음악,2016-12-31,2016-12-31,0600-0703,무료,울산광역시,울산심포닉밴드,,한국문예진흥기금,472,,,,,,,Y,울산광역시 남구 번영로 200,,,,2016-12-01
"<삘릴릴리 음악여행:안나의 신기한 요술피리>",대전가양유치원,음악,2016-12-01,2016-12-01,1000-1045,무료,"한국문화예술회관연합회,뉴모던팝스오케스트라협동조합,학림유치원외7곳","문화융성위원회,문화체육관광부",,,50,,02월 06일,,,http://,,Y,대전광역시 동구 가양로 61,,,,2016-12-01
2순위_국립합창단(까르미나 부라나),문경문화예술회관 대공연장,음악,2016-12-01,2016-12-01,2000-2120,유료,한국문화예술회관연합회,문경문화예술회관,,,814,2000원,8,,,http://mgculture.gbmg.go.kr,,Y,경상북도 문경시 신흥로 85,,,,2016-12-01
"전통예술 (농악)",풍양면 죽시장터길 13-6,전통예술,2016-12-01,2017-02-18,-,무료,전라남도문화관광재단,전라남도문화관광재단,,,,무료,,,,,,Y,경상북도 예천군 풍양면 죽시장터길 13-6,,,,2016-12-01
"창작오페라 만인보3편'들불'",예술의전당 대공연장,음악,2016-12-01,2016-12-01,1930-2130,무료,전라북도문화관광재단,(사)전북오페라단,,고은문화사업추진위원회,1200,,,,,,,Y,전라북도 군산시 백토로 203,,,,2016-12-01
2순위_국립합창단(헨델의 메시아),한국소리문화의전당 모악당,음악,2016-12-01,2016-12-03,1600-1830,유료,한국문화예술회관연합회,한국소리문화의전당,,기획재정부 복권위원회,1619,"평균 40,000원",8,"릴레이티켓할인(클라라주미강, 손열음 듀오콘서트 티켓 소지자에 한해 40프로할인)-회원 블루 2매, 블랙 4매 20프로-장애인, 국가유공자 할인-학생할인-다자녀 할인",,www.sori21.co.kr,www.sori21.co.kr,Y,전라북도 전주시 덕진구 소리로 31,,,,2016-12-01
"퍼포먼스 심포지움--김기찬의 <골목길 풍경> 다시 보기",플랫폼 L 컨템포러리 아트 센터,다원예술,2016-12-01,2016-12-17,1201-2200,유료,서울문화재단,플랫폼 L 컨템포러리 아트 센터,,서울문화재단,170,,15,,,http://,,Y,서울특별시 강남구 언주로133길 11,,,,2016-12-01
"양찬희의춤 - 하얀초상",대전연정국악원 큰마당,무용,2016-12-01,2016-12-01,1930-2030,유료,대전문화재단,대전문화재단,,,750,,6,,,http://,,Y,대전광역시 서구 둔산대로 181,,,,2016-12-01
"장선희발레단 <호두까기인형 in Seoul>",LG아트센터,무용,2016-12-01,2016-12-02,2000-2130,유료,장선희발레단,장선희발레단,,"한국문화예술위원회,신일문화재단,KCC오토(주),(재)전문무용수지원센터",1103,"R석 70,000원, S석 50,000원, A석 30,000원",4,,,,www.lgart.com,Y,서울특별시 강남구 논현로 508,,,,2016-12-01
2016  REAL STREET 정기공연,대전 믹스페이스,예술일반,2016-12-01,2016-12-26,1800-2000,무료,리얼스트릿,리얼스트릿,,대전문화재단,528,무료,,,,www.realstreet.kr,,Y,대전광역시 중구 대흥로175번길 25,,,,2016-12-01
"소리에 취해 매화에 물들이다",장성 문화예술회관 소극장,다원예술,2016-12-30,2016-12-30,1900-2000,무료,퓨전실내악단 새라온,퓨전실내악단 새라온,,,,,,,,,,,전라남도 장성군 장성읍 문화로 110,,,,2016-12-01
2016 다이즘현대작곡가동인 시리즈 7 -창작관현악과 창작협주곡의 밤 II (명연주자 명단체초청),우봉아트홀,음악,2016-12-01,2016-12-01,1930-2100,무료,다이즘현대작곡가동인,다이즘현대작곡가동인,,대구문화재단/한국문화예술위원회,300,무료,8,전석초대 무료,미취학아동 입장 불가,http://,,Y,대구광역시 남구 효성로 37,,,,2016-12-01
"거장과 마르가리타",더스텀프홀 소극장,연극,2016-12-01,2016-12-11,2000-2130,유료,서울문화재단,명품극단,,,138,"25,000원",,,,http://www.myungpum.org,,N,서울특별시 마포구 와우산로21길 20-11,,,,2016-12-01
"계절 의 유희(遊戱)",청주 예술의전당 소공연장,전통예술,2016-12-01,2016-12-01,1930-2100,무료,음악그룹여음,음악그룹여음,,"한국문화예술위원회, 충북문화재단",350,,,,,http://,,Y,충청북도 청주시 서원구 흥덕로 69,,,,2016-12-01
"감성 힐링 피아노 콘서트: '북유럽의 숲을 거닐다'",한영아트센터,음악,2016-12-01,2016-12-01,1930-2100,무료,이 피아니스티,이 피아니스티,,,200,무료,,,,,,Y,대구광역시 수성구 달구벌대로 2327,,,,2016-12-01
"이중희대금독주회",부산문화회관 소극장,전통예술,2016-12-01,2016-12-01,1930-2100,무료,이중희,개인,,,,,,,,,,,부산광역시 남구 유엔평화로76번길 1,,,,2016-12-01
XXL 레오타드 안나수이 손거울,여행자극장,연극,2016-12-01,2016-12-11,2000-2130,유료,극단 돌파구,극단 돌파구,,,100,,,,,,,N,서울특별시 성북구 성북로5길 9-3 일신빌딩 지하1층,,,,2016-12-01
"나루터 무용단 제5회 정기공연",창원성산아트홀소극장,무용,2016-12-01,2016-12-01,1930-2030,무료,한국문화예술위원회,나루터무용단,,"경남문화예술진흥원,한국문화예술위원회,경상남도",500,전석초대,7,,,http://www.cwcf.or.kr,,Y,경상남도 창원시 의창구 중앙대로 181,,,,2016-12-01
"공룡대장 코리요",충남육아종합지원센터(당진 기지시 줄다리기 박물관),연극,2016-12-02,2016-12-02,1030-1130,무료,"한국문화예술회관연합회, 메노뮤직, 충남육아종합지원센터","문화융성위원회, 문화체육관광부",,,140,0원,,,,,,,충청남도 예산군 삽교읍 도청대로 600,,,,2016-12-01
"나종사랑 2016 극단 청사 찾아가는문화활동 공연","단양고등학교, 증평형석고등학교",연극,2016-12-02,2016-12-05,1030-1200,무료,극단 청사,극단 청사,,충북문화재단,200,무료,17,무료공연,촬영금지,카페 극단 청사,,Y,충청북도 청주시 상당구 남사로 115,,,,2016-12-01
"힘내요, 나라씨",소극장 판,연극,2016-12-02,2016-12-04,2000-2130,유료,이경미,이경미,,,,,,,,,,,전라북도 전주시 완산구 현무1길 31-5,,,,2016-12-01
"창작극회 제152회 정기공연[귀신보다 무서운]",창작소극장,연극,2016-12-02,2016-12-18,1500-2100,유료,전라북도문화관광재단,창작극회,,,100,,,,,http://www.changjak1961.co.kr,,N,전라북도 전주시 완산구 동문길 100,,,,2016-12-01
"창작오페라  단종의눈물",치악예술관,음악,2016-12-02,2016-12-02,1930-2100,무료,원주오페라단,원주오페라단,,"강원도, 한국문화예술위원회, 강원문화재단",660,없음,,없음,,cafe.daum.net/operaart,,Y,강원도 원주시 서원대로 331,,,,2016-12-01
"박서연의 춤 '서리꽃'",cjb 미디어 센터,무용,2016-12-02,2016-12-02,1900-2030,무료,박서연 무용단,박서연무용단,,,,,,,,,,,충청북도 청주시 서원구 1순환로 854,,,,2016-12-01
2016 리딩씨어터,고도 소극장 (대전 중구 중앙로112번길 13 ),연극,2016-12-02,2016-12-03,1400-1800,무료,이경미,이경미,,,,,,,,http://cafe.daum.net/tjda,,N,대전광역시 중구 중앙로112번길 13,,,,2016-12-01
3순위_재즈파크빅밴드와 유열(또는 정수라)의 힐링콘서트,창녕문화예술회관 대공연장,다원예술,2016-12-02,2016-12-02,1900-2130,유료,한국문화예술회관연합회,"한국문화예술위원회, 창녕군",,"기획재정부 복권위원회, 문화체육관광부",496,"1층 10,000원, 2층 7,000원",8,30프로 할인 : 창녕문화누리회원 1인2매,,http://art.cng.go.kr,http://ticket.cng.go.kr,Y,경상남도 창녕군 창녕읍 우포2로 1189-25,,,,2016-12-01
1순위_THE - CONCERT,하남문화예술회관 소극장,다원예술,2016-12-02,2016-12-02,1030-1200,유료,한국문화예술회관연합회,하남문화재단,,,334,,,,,http://www.hnart.or.kr,,Y,경기도 하남시 신평로 125,,,,2016-12-01
"김계옥 작품 발표회",삼성동 114-9 올림푸스홀,전통예술,2016-12-02,2016-12-02,1900-2100,유료,서울문화재단,서울문화재단,,,,10000,,,,http://,,Y,서울특별시 삼성동 114-9 올림푸스홀,,,,2016-12-01
"리케이댄스 창단15주년 기념공연  zerO",서강대 메리홀 대극장,무용,2016-12-02,2016-12-03,1800-1900,유료,서울문화재단,리케이댄스,,,,,,,,http://cafe.daum.net/kyungeun777,,,서울특별시 마포구 백범로 35,,,,2016-12-01
"발레 호두까기 인형",부산시민회관 대극장,무용,2016-12-02,2016-12-02,1930-2120,유료,"한국문화예술회관연합회, 부산시민회관","부산시설공단, 한국문화예술위원회",,"문화체육관광부, 기획재정부 복권위원회",1606,"R석 5만원, S석 4만원, A석 3만원",,"문화사랑 나눔유료회원 50프로국가유공, 장애인 50프로, 경로(만65세이상) 50프로, 다자녀가족 50프로, 문화누리카드 50프로, 단체(10명이상)30프로 등",,http://citizenhall.bisco.or.kr,,Y,부산광역시 동구 자성로133번길 16,,,,2016-12-01
1순위_국립합창단(헨델의 메시아),이천아트홀 대공연장,음악,2016-12-02,2016-12-02,1930-2130,유료,한국문화예술회관연합회,한국문화예술위원회,,"기획재정부 복권위원회, 문화체육관광부",1093,"R석20,000원, S석10,000원",8,"이천아트홀 회원 5프로, 이천아트홀 가족(유료)회원 2~30프로국가유공자, 장애인 50프로",중복할인 불가,www.artic.or.kr,www.artic.or.kr,Y,경기도 이천시 부악로 40,,,,2016-12-01
"서훈과 함께 하는 신나는 음악여행",예주문화예술회관,음악,2016-12-03,2016-12-03,1930-2100,무료,한국문화예술회관연합회,"한국문화예술위원회, 예주문화예술회관",,"기획재정부 복권위원회, 문화체육관광부",531,,,,,http://art.yd.go.kr,,Y,경상북도 영덕군 영해면 318만세길 36,,,,2016-12-01
"음악극 제비몰러나간다","충주 건국대학교병원, 단양 영춘초등학교",전통예술,2016-12-03,2016-12-06,1400-1500,무료,국악관현악단 더불어숲,국악관현악단 더불어숲,,"충청북도, 충북문화재단",300,,,,,http://,,,충청북도 충주시 국원대로 82,,,,2016-12-01
2순위_오페라 '라 보엠',구리아트홀 코스모스대극장,음악,2016-12-03,2016-12-03,1500-1700,유료,한국문화예술회관연합회,"한국문화예술위원회, 구리아트홀",,"복권위원회, 문화체육관광부, 기획재정부",600,R석 4만원/ S석 3만원,,,,www.garts.go.kr,,Y,경기도 구리시 아차산로 453,,,,2016-12-01
"수상한흥신소",함안문화예술회관 대공연장,다원예술,2016-12-03,2016-12-03,1900-2100,유료,익스트림플레이,익스트림플레이,,,,,,,,,,,경상남도 경남 함안군 가야읍 함안대로 619-1,,,,2016-12-01
"첼리첼로 제 9회 정기연주회",한국소리문화의전당 명인홀,음악,2016-12-03,2016-12-03,1700-1900,유료,전라북도문화관광재단,첼로앙상블 첼리첼로,,,206,1만원,8,없음(특이사항 /초대권 발행),연주당일 환불 불가능,http://,,Y,전라북도 전북 전주시 덕진구 소리로 31,,,,2016-12-01
"사랑나눔 열네번째 2016 사랑의 춤  춤꾼들의 同居同樂 공연",솜리문화예술회관소공연장,무용,2016-12-03,2016-12-03,1700-1810,무료,전라북도문화관광재단,(사)한국무용협회 익산시지부,,"전라북도, 익산시, 익산열린신문",280,0,6,,,http://arts.iksan.go.kr,,Y,전라북도 익산시 선화1로 106,,,,2016-12-01
"강원아카펠라교육연구회 교육콘서트 '2016 동행'",춘천교육대학교 오남오란홀,음악,2016-12-03,2016-12-03,1600-1830,무료,강원문화재단,강원아카펠라교육연구회,,강원도교육청,,,,,,,,,강원도 강원 춘천시 석사동 339,,,,2016-12-01
"뮤지컬테크닉 오페라 [카르멘]",한국소리문화의전당연지홀,음악,2016-12-03,2016-12-03,1500-2030,무료,전라북도문화관광재단,전주오페라단,,,660,0,,,,vocalise@jbnu.ac.kr,,Y,"전라북도 전주시 덕진구 백제대로 567 (금암동, 전북대학교내)",,,,2016-12-01
"예술에빠진 사람들",강릉 TG홀,음악,2016-12-03,2016-12-03,1203-1203,무료,(사)강릉시민예술단,(사)강릉시민예술단,,강원문화재단,500,없음,,,,www.gncats.kr,,Y,강원도 강릉시 해안로 333,,,,2016-12-01
"바람꽃 상쇠 나금추",부안예술회관,전통예술,2016-12-03,2016-12-03,1900-2100,무료,전라북도문화관광재단,부안우도농악보존회,,전라북도.부안군,400,,,,,http://cafe.daum.net/buan2011,,Y,전라북도 부안군 행안면 월암길 49,,,,2016-12-01
"전통음악극 '별천지' 프로젝트",꿈꾸는씨어터,전통예술,2016-12-03,2016-12-03,1900-2030,유료,한국문화공동체BOK,한국문화공동체BOK,,"대구문화재단, 한국문화예술위원회",150,전석2만원,,,,,,,대구광역시 남구 현충로 148,,,,2016-12-01
The 굿,국립무형유산원 얼쑤마루 소공연장,무용,2016-12-03,2016-12-03,1800-1900,무료,산조전통무용단,산조전통무용단,,,180,,8,,,,,Y,전라북도 남원시 양림길 54,,,,2016-12-01
2016년 설악영북권 락벤드 청소년을 위한 힐링콘서트,고성군 문화원(3층 공연장),음악,2016-12-03,2016-12-03,1630-1800,무료,G?밴드음악단,G?밴드음악단,,강원문화재단,300,무료,,,,http://,,Y,강원도 고성군 간성읍 간성로 71-7,,,,2016-12-01
2016 정기연주회,청주아트홀,음악,2016-12-03,2016-12-03,1930-2100,무료,충북문화재단,청주레이디싱어즈,,,700,무료,,,,http://,,Y,충청북도 청주시 서원구 예체로 118-1,,,,2016-12-01
2순위_남상일 100분쇼,"체육공원로 7(구서동, 금정문화회관)",음악,2016-12-03,2016-12-03,1700-1800,유료,한국문화예술회관연합회,"금정문화회관, 한국문화예술회관위원회",,,,,,,,http://art.geumjeong.go.kr,,,부산광역시 부산 금정구 체육공원로 7,,,,2016-12-01
"제2회 김용화 대금 독주회",전주 전통문화관 한벽극장,전통예술,2016-12-03,2016-12-03,1700-1830,무료,전라북도문화관광재단,전라북도문화관광재단,,,,,,,,http://,,,전라북도 전주시 완산구 전주천동로 20,,,,2016-12-01
2016 문화예술교류활성화사업,거문도 뱃노래 보존회관 / 여수시 청소년 수련회관,다원예술,2016-12-05,2016-12-31,1700-1900,유료,한국예술문화복지사총연합회 전남연합 여수지회,한국예술문화복지사총연합회 전남연합 여수지회,,"한국문화예술위원회, 전라남도문화관광재단",200,,0-10,"장애인, 노인 특별할인",,http://www.kaccw.org/,,Y,전라남도 여수시 좌수영로 69,,,,2016-12-01
2016 경죽관악합주단 정기연주회 '수험생을 위한 음악회',경주중고등학교 강당,음악,2016-12-05,2016-12-05,1100-1230,무료,경상북도,경주관악합주단,,,,,,,,,,,경상북도 경주시 원효로 231,,,,2016-12-01
"보이체크",소극장 고도,연극,2016-12-05,2016-12-10,2000-2110,유료,대전문화재단,박준우,,,80,,15,,,http://,,N,대전광역시 중구 중앙로112번길 13,,,,2016-12-01
"악극 부모님 전상서",진남문예회관,연극,2016-12-05,2016-12-07,1900-2040,유료,한국문화예술위원회,극단 파도소리,,,,,,,,http://,,Y,전라남도 여수시 좌수영로 69,,,,2016-12-01
"김동규의 어느 멋진 날에, with 송소희",횡성문화예술회관,음악,2016-12-06,2016-12-06,1930-2100,무료,한국문화예술회관연합회,"한국문화예술위원회, 횡성군청",,"기획재정부 복권위원회, 문화체육관광부",,,,,,http://hsg.go.kr,,,강원도 횡성군 횡성읍 문예로 75,,,,2016-12-01
"춤추는 詩ㅡ뿔과 갈대",충주문화회관,무용,2016-12-06,2016-12-06,1600-2100,무료,충북문화재단,김진미풍유무용단,,,,,,,,http://,,,충청북도 충주시 중앙로 128,,,,2016-12-01
5순위_나몰라패밀리 핫쇼(스페셜),전라남도 장성군 장성읍 문화로 110,다원예술,2016-12-06,2016-12-06,1900-2040,유료,한국문화예술회관연합회,"한국문화예술위원회, 장성군",,,684,,,,,http://culture.jangseong.go.kr,,Y,전라남도 장성군 장성읍 문화로 110,,,,2016-12-01
3순위_라이어,당진문예의전당 대공연장,다원예술,2016-12-06,2016-12-06,1930-2100,유료,한국문화예술회관연합회,당진문화재단|당진문예의전당,,,1001,,,,,www.dangjinart.kr,,Y,충청남도 당진시 무수동2길 25-21,,,,2016-12-01
3순위_아빠가 들려주는 스토리발레 - 호두까기 인형,계룡문화예술의전당,무용,2016-12-06,2016-12-06,1900-2030,유료,한국문화예술회관연합회,계룡문화예술의전당,,,,,,,,http://ac.gyeryong.go.kr,,,충청남도 충남 계룡시 엄사면 문화로 31,,,,2016-12-01
"전통예술, 음악",영랑동 157-14번지 12호,전통예술,2016-12-03,2016-12-03,1400-1600,무료,강원문화재단,빛누리예,,"강원도, 강원문화재단, 양양예총",379,,,,,http://,,Y,강원도 양양군 양양읍 일출로 540,,,,2016-12-01
"공상물리적 춤",대학로예술극장 소극장,무용,2016-12-03,2016-12-04,1700-1800,유료,한국문화예술위원회,오 마이라이프 무브먼트 시어터,,,120,3만원,,문화릴레이티켓 20프로 할인,,www.ohmylifedance.com,http://www.koreapac.kr/Pages/Perf/Detail/Detail.aspx?IdPerf=255819,,서울특별시 강남구 압구정로 108,,,,2016-12-01
1순위_국립현대무용단(어린왕자),김해대로 2060 (내동1131) 김해문화의전당 마루홀,무용,2016-12-03,2016-12-03,1700-1900,유료,한국문화예술회관연합회,"한국문화예술위원회, 김해문화의전당",,"기획재정부 복권위원회, 문화체육관광부",1110,"R석30,000원 S석25,000원 A석20,000",8,"-전당회원할인(10~20프로)-단체할인(10~30프로)-학생할인(30프로)-문화예술인할인(30프로)-문화누리카드할인(바우처할인 30프로)-장애우,국가유공자할인(50프로)-자원봉사자할인(5프로)",,www.gasc.or.kr,www.gasc.or.kr,,경상남도 김해시 김해대로 2060,,,,2016-12-01
2016 정신혜무용단 기획공연<춤ㆍ세대공감-다섯번째>,영화의 전당 하늘연극장,무용,2016-12-03,2016-12-03,1900-2010,유료,부산문화재단,정신혜무용단,,,,,,,,www.jshdance.kr,,,부산광역시 해운대구 수영강변대로 120,,,,2016-12-01
"피아노 듀오 콘서트 “모전여전 [母傳女傳]”",예술의전당 IBK챔버홀,음악,2016-12-03,2016-12-03,2000-2200,유료,서울문화재단,김지현/미정,,,,,,,,http://,,,서울특별시 서초구 남부순환로 2406,,,,2016-12-01
"제2회 최윤혜 대금독주회 風流",웃는얼굴 아트센터 와룡홀,전통예술,2016-12-03,2016-12-03,1700-1800,무료,최윤혜,최윤혜,,,212,,,,,,,Y,대구광역시 달서구 문화회관길 160,,,,2016-12-01
"맥베스",국립극장 KB국민은행청소년하늘극장,무용,2016-12-03,2016-12-04,1600-1710,유료,유빈댄스(UBIN Dance),유빈댄스(UBIN Dance),,"서울시, 서울문화재단, 한국문화예술위원회",627,,7,,,,,Y,서울특별시 중구 장충단로 59,,,,2016-12-01
"다현악회 제13회 정기연주회 - 풍년을 노래하다",둔산대로 181 대전시립연정국악원 작은마당,전통예술,2016-12-04,2016-12-04,1600-1700,유료,다현악회,다현악회,,"대전광역시,(재)대전문화재단,한국문화예술위원회",388,"전석10,000원",8,,,da_hyeon.allthway.kr,,Y,대전광역시 서구 둔산대로 181,,,,2016-12-01
"코리안필하모닉오케스트라 정기연주회",우진문화공간,음악,2016-12-04,2016-12-04,-,무료,전라북도문화관광재단,코리안칠하모닉오케스트라,,전라북도,165,,8,,,,,Y,전라북도 전주시 덕진구 전주천동로 376,,,,2016-12-01
"백 범   김  구",천안문예회관,연극,2016-12-04,2016-12-05,1400-1700,유료,한국문화예술위원회,능수버들예술단,,백범 김구재단,650,"10,000원  청소년 7,000원",13,,,,천안문화장터/ 사랑티켓,Y,충청남도 천안시 서북구 성정공원6길 1~4,,,,2016-12-01
"대전 원 클라리넷 앙상블 정기연주회",대전광역시 평송 청소년 문화센터 소공연장,음악,2016-12-04,2016-12-04,1700-1800,무료,대전문화재단,대전 원 클라리넷 앙상블,,,378,,,,,,,,대전광역시 서구 둔산대로 201,,,,2016-12-01
"화초머리",국립무형유산원,무용,2016-12-04,2016-12-04,1700-1830,유료,전통예악원 누리춤터,전통예악원 누리춤터,,"전라북도, 전라북도문화관광재단",350,"20,000원",8,단체 10명이상 50프로 할인,,,,Y,전라북도 전주시 완산구 서학로 95(동서학동896-1),,,,2016-12-01
